muscle,Active,maxForce,passiveFraction,maxLength,optLength,tendonRatio,damping
rat,TRUE,158,0.015,75.54,95.92,0.5,0
lat,TRUE,158,0.015,75.54,95.92,0.5,0
rmt,TRUE,95.6,0.015,65.81,93.36,0.48,0
lmt,TRUE,95.6,0.015,65.81,93.36,0.48,0
rpt,TRUE,75.6,0.015,77.1,101.08,0.51,0
lpt,TRUE,75.6,0.015,77.1,101.08,0.51,0
rsm,TRUE,190.4,0.015,51.46,66.88,0.46,0
lsm,TRUE,190.4,0.015,51.46,66.88,0.46,0
rdm,TRUE,81.6,0.015,29.07,44.85,0.29,0
ldm,TRUE,81.6,0.015,29.07,44.85,0.29,0
rmp,TRUE,174.8,0.015,40.51,50.63,0.64,0
lmp,TRUE,174.8,0.015,40.51,50.63,0.64,0
rsp,TRUE,28.67,0.015,27.7,37.7,0,0
lsp,TRUE,28.67,0.015,27.7,37.7,0,0
rip,TRUE,66.9,0.015,31.5,45.1,0,0
lip,TRUE,66.9,0.015,31.5,45.1,0,0
rad,TRUE,40,0.015,31.5,45.1,0,0
lad,TRUE,40,0.015,31.5,45.1,0,0
ram,TRUE,35.4,0.015,31.5,45.1,0,0
lam,TRUE,35.4,0.015,31.5,45.1,0,0
rpm,TRUE,35.4,0.015,31.5,45.1,0,0
lpm,TRUE,35.4,0.015,31.5,45.1,0,0
rgh,TRUE,32,0.015,31.5,45.1,0,0
lgh,TRUE,32,0.015,31.5,45.1,0,0
